,title,scores,tent
0,              かぐや様は告らせたい～天才たちの恋愛頭脳戦～（TVアニメ動画）,4.0,4565人が棚に入れました
1,              約束のネバーランド（TVアニメ動画）,3.9,3410人が棚に入れました
2,              盾の勇者の成り上がり（TVアニメ動画）,3.7,3682人が棚に入れました
3,              五等分の花嫁（TVアニメ動画）,3.6,3327人が棚に入れました
4,              モブサイコ100 II（TVアニメ動画）,3.9,1516人が棚に入れました
5,              私に天使が舞い降りた！（TVアニメ動画）,3.8,1771人が棚に入れました
6,              どろろ（TVアニメ動画）,3.8,1676人が棚に入れました
7,              ケムリクサ（TVアニメ動画）,3.6,1420人が棚に入れました
8,              斉木楠雄のΨ難 完結編（TVアニメ動画）,4.1,45人が棚に入れました
9,              上野さんは不器用（TVアニメ動画）,3.5,1358人が棚に入れました
10,              賭ケグルイ××（TVアニメ動画）,3.9,1626人が棚に入れました
11,              同居人はひざ、時々、頭のうえ。（TVアニメ動画）,4.1,879人が棚に入れました
12,              ドメスティックな彼女（TVアニメ動画）,1.0,1486人が棚に入れました
13,              えんどろ～！（TVアニメ動画）,3.7,1044人が棚に入れました
14,              3D彼女 リアルガール（第2シーズン）（TVアニメ動画）,3.9,660人が棚に入れました
15,              BanG Dream！（バンドリ！） 2nd Season（TVアニメ動画）,3.0,606人が棚に入れました
16,              ブギーポップは笑わない（TVアニメ動画）,3.3,1443人が棚に入れました
17,              revisions リヴィジョンズ（TVアニメ動画）,3.6,990人が棚に入れました
18,              デート・ア・ライブIII（TVアニメ動画）,3.8,1009人が棚に入れました
19,              荒野のコトブキ飛行隊（TVアニメ動画）,3.4,902人が棚に入れました
20,              はたらく細胞 特別編「風邪症候群」（TVアニメ動画）,3.6,661人が棚に入れました
21,              スター☆トゥインクルプリキュア（TVアニメ動画）,4.4,91人が棚に入れました
22,              魔法少女特殊戦あすか（TVアニメ動画）,4.0,756人が棚に入れました
23,              ピアノの森（第2シリーズ）（TVアニメ動画）,2.9,458人が棚に入れました
24,              マナリアフレンズ（TVアニメ動画）,3.2,516人が棚に入れました
25,              明治東亰恋伽（TVアニメ）（TVアニメ動画）,3.4,263人が棚に入れました
26,              みにとじ（TVアニメ動画）,3.4,187人が棚に入れました
27,              不機嫌なモノノケ庵 續（TVアニメ動画）,3.3,344人が棚に入れました
28,              ルパン三世 グッバイ・パートナー（TVアニメ動画）,3.4,130人が棚に入れました
29,              ガーリー・エアフォース（TVアニメ動画）,3.7,692人が棚に入れました
30,              マンガでわかる！Fate／Grand Order（TVアニメ動画）,3.6,99人が棚に入れました
31,              グリムノーツ The Animation（TVアニメ動画）,2.9,404人が棚に入れました
32,              エガオノダイカ（TVアニメ動画）,3.3,585人が棚に入れました
33,              サークレット・プリンセス（TVアニメ動画）,2.9,298人が棚に入れました
34,              ＮＨＫバーチャルのど自慢（TVアニメ動画）,4.0,54人が棚に入れました
35,              フライングベイビーズ（TVアニメ動画）,3.6,74人が棚に入れました
36,              B-PROJECT～絶頂＊エモーション～（TVアニメ動画）,2.7,116人が棚に入れました
37,              W'z《ウィズ》（TVアニメ動画）,4.0,252人が棚に入れました
38,              バミューダトライアングル ～カラフル・パストラーレ～（TVアニメ動画）,3.7,165人が棚に入れました
