,title,sales
0,"　
八男って、それはないでしょう！　










","**4,773pt"
1,"　
かぐや様は告らせたい？～天才たち の恋愛頭脳戦～　










","**4,438pt"
2,"　
乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった…　










","**3,633pt"
3,"　
グレイプニル　










","**2,710pt"
4,"　
かくしごと　










","**2,446pt"
5,"　
キングダム 第3シリーズ　










","**2,222pt"
6,"　
社長, バトルの時間です!　










","**2,075pt"
7,"　
プリンセスコネクト！Re:Dive　








","**2,285pt"
8,"　
神之塔 -Tower of God-　









","**1,919pt"
9,"　
メジャーセカンド　









","**1,852pt"
10,"　
球詠　










","**1,768pt"
11,"　
白猫プロジェクトZERO CHRONICLE　









","**1,536pt"
12,"　
イエスタデイをうたって　










","**1,268pt"
13,"　
継・つぐもも　









","**1,445pt"
14,"　
波よ聞いてくれ　










","**1,200pt"
15,"　
新サクラ大戦 the Animation　










","**1,083pt"
16,"　
フルーツバスケット 2nd season　





","**1,971pt"
17,"　
放課後ていぼう日誌　










","***,648pt"
18,"　
ギャルと恐竜　










","***,510pt"
19,"　
俺の指で乱れろ。～閉店後二人きりの サロンで…～　








","***,805pt"
20,"　
啄木鳥探偵處　





","**1,182pt"
21,"　
富豪刑事 Balance:UNLIMITED　








","***,513pt"
22,"　
文豪とアルケミスト ～審判ノ歯車～　








","***,356pt"
23,"　
アルゴナビス from BanG Dream!　






","***,503pt"
24,"　
天晴爛漫！　




","***,350pt"
25,"　
シャドウバース　






","***,232pt"
26,"　
四月一日さん家と　



","***,*27pt"
27,"　
BNA ビー・エヌ・エー　


","***,**0pt"
28,"　
LISTENERS リスナーズ　


","***,**0pt"
29,"　
アルテ　


","***,**0pt"
30,"　
ノー・ガンズ・ライフ　


","***,**0pt"
31,"　
やはり俺の青春ラブコメはまちがってい る。完　


","***,**0pt"
32,"　
邪神ちゃんドロップキック'（ダッシュ）　


","***,**0pt"
33,"　
食戟のソーマ 豪ノ皿　



","***,**0pt"
34,"　
痛いのは嫌なので防御力に 極振りしたいと思います。　









","**5,664pt"
35,"　
プランダラ　










","**4,683pt"
36,"　
ハイキュー!! TO THE TOP　









","**5,064pt"
37,"　
ダーウィンズゲーム　










","**2,894pt"
38,"　
虚構推理　










","**2,797pt"
39,"　
とある科学の超電磁砲[レールガン]T　







","**3,646pt"
40,"　
異世界かるてっと 第2期　










","**2,401pt"
41,"　
地縛少年花子くん　










","**2,229pt"
42,"　
魔術士オーフェンはぐれ旅　










","**1,934pt"
43,"　
異種族レビュアーズ　









","**2,168pt"
44,"　
へやキャン△　










","**2,040pt"
45,"　
マギアレコード 魔法少女まどか☆マギカ外伝 (TV)　










","**1,852pt"
46,"　
-インフィニット・デンドログラム-　









","**1,961pt"
47,"　
ID:INVADED イド:インヴェイデッド　










","**1,671pt"
48,"　
ソマリと森の神様　









","**1,656pt"
49,"　
ランウェイで笑って　










","**1,625pt"
50,"　
群れなせ！シートン学園　









","**1,371pt"
51,"　
恋する小惑星〈アストロイド〉　










","**1,114pt"
52,"　
おーばーふろぉ　








","**1,545pt"
53,"　
ぼくのとなりに暗黒破壊神がいます。　








","**1,229pt"
54,"　
織田シナモン信長　







","**1,442pt"
55,"　
宝石商リチャード氏の謎鑑定　









","**1,131pt"
56,"　
BanG Dream!（バンドリ！）第3期　









","***,652pt"
57,"　
A3! SEASON SPRING & SUMMER　









","***,480pt"
58,"　
22/7　









","***,466pt"
59,"　
うちタマ?!~うちのタマ知りませんか?~　









","***,528pt"
60,"　
ネコぱら　







","***,643pt"
61,"　
八十亀ちゃんかんさつにっき 第2期　







","***,598pt"
62,"　
SHOW BY ROCK!!ましゅまいれっしゅ!!　










","***,246pt"
63,"　
number24 ナンバー・トゥーフォー　



","***,411pt"
64,"　
ARP Backstage Pass　






","***,108pt"
65,"　
ペット　


","***,**0pt"
66,"　
ドロヘドロ　


","***,**0pt"
67,"　
理系が恋に落ちたので証明してみた。　


","***,**0pt"
68,"　
空挺ドラゴンズ　


","***,**0pt"
69,"　
映像研には手を出すな!　


","***,**0pt"
70,"　
はてな☆イリュージョン　



","***,**0pt"
71,"　
なつなぐ!　


","***,**0pt"
72,"　
推しが武道館いってくれたら死ぬ　


","***,**0pt"
73,"　
ヒーリングっど?プリキュア　


","***,**0pt"
74,"　
りばあす　


","***,**0pt"
75,"　
七つの大罪 神々の逆鱗　







","*30,883pt"
76,"　
魔入りました！入間くん　





","*16,989pt"
77,"　
Fate/Grand Order -絶対魔獣戦線バビロニア-　







","*22,506pt"
78,"　
ソードアート・オンライン アリシゼーション War of Underworld　







","*21,604pt"
79,"　
本好きの下剋上 司書になるためには手段を選んでいられません　







","*20,935pt"
80,"　
慎重勇者～この勇者が俺TUEEEくせに慎重すぎる～　







","*20,710pt"
81,"　
あひるの空　




","**8,259pt"
82,"　
歌舞伎町シャーロック　




","**7,495pt"
83,"　
アサシンズプライド　



","**3,623pt"
84,"　
超人高校生たちは異世界でも余裕で生き抜くようです！　







","*16,644pt"
85,"　
俺を好きなのはお前だけかよ　







","*12,709pt"
86,"　
ぼくたちは勉強ができない！（第2期）　







","*12,133pt"
87,"　
ラディアン 第2シリーズ　



","**2,263pt"
88,"　
旗揚！けものみち　







","**9,156pt"
89,"　
ファンタシースターオンライン2 エピソード・オラクル　







","**9,117pt"
90,"　
戦×恋（ヴァルラヴ）　







","**8,085pt"
91,"　
警視庁 特務部 特殊凶悪犯対策室 第七課 -トクナナ-　







","**7,570pt"
92,"　
アズールレーン　







","**6,468pt"
93,"　
星合の空　







","**5,995pt"
94,"　
GRANBLUE FANTASY The Animation season2　







","**5,823pt"
95,"　
アフリカのサラリーマン　







","**5,805pt"
96,"　
真・中華一番！　







","**5,490pt"
97,"　
Z/X Code reunion　





","**2,172pt"
98,"　
放課後さいころ倶楽部　







","**4,970pt"
99,"　
ライフル・イズ・ビューティフル　






","**2,727pt"
100,"　
スタンドマイヒーローズ　PIECE OF TRUTH　







","**3,878pt"
101,"　
兄に付ける薬はない！3-快把我哥帯走3-　






","**2,270pt"
102,"　
厨病激発ボーイ　







","**2,981pt"
103,"　
XL上司。　







","**3,669pt"
104,"　
神田川JET GIRLS　







","**3,490pt"
105,"　
天華百剣～めいじ館へようこそ！～　



","***,584pt"
106,"　
ACTORS -Songs Connection-　







","**1,853pt"
107,"　
ぬるぺた　







","**1,468pt"
108,"　
浦島坂田船の日常　







","**1,444pt"
109,"　
私、能力は平均値でって言ったよね！　




","***,326pt"
110,"　
食戟のソーマ 神ノ皿　



","***,295pt"
